Latitude (decimal degrees): 39.572
Longitude (decimal degrees): 2.649
Elevation (m): 21.0
month,year
1,2012
2,2007
3,2009
4,2013
5,2009
6,2012
7,2013
8,2007
9,2010
10,2010
11,2007
12,2011
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,16.0,81.66,0.0,-0.0,0.0,310.15,2.56,284.0,102252.0
20120101:0100,15.97,82.42,0.0,-0.0,0.0,310.61,2.49,281.0,102228.0
20120101:0200,15.93,83.18,0.0,-0.0,0.0,311.06,2.41,278.0,102205.0
20120101:0300,15.89,83.94,0.0,-0.0,0.0,311.52,2.34,281.0,102218.0
20120101:0400,15.85,84.7,0.0,-0.0,0.0,311.97,2.26,284.0,102232.0
20120101:0500,15.82,85.46,0.0,-0.0,0.0,312.43,2.19,287.0,102245.0
20120101:0600,15.78,86.21,0.0,-0.0,0.0,312.88,2.11,279.0,102288.0
20120101:0700,15.74,86.97,0.0,-0.0,0.0,313.34,2.04,272.0,102332.0
20120101:0800,15.34,85.46,121.0,515.87,43.0,313.1,1.19,264.0,102375.0
20120101:0900,15.49,85.58,272.0,705.41,68.0,312.75,1.78,259.0,102358.0
20120101:1000,15.64,85.7,392.0,804.07,78.0,312.4,2.37,254.0,102341.0
20120101:1100,15.79,85.82,463.0,858.9,78.0,312.05,2.97,249.0,102325.0
20120101:1200,15.73,85.41,468.0,820.13,92.0,310.15,2.95,250.0,102275.0
20120101:1300,15.67,85.01,424.0,811.0,83.0,308.25,2.93,251.0,102225.0
20120101:1400,15.61,84.6,322.0,721.39,79.0,306.35,2.91,252.0,102175.0
20120101:1500,15.57,85.11,182.0,571.95,60.0,305.7,2.8,248.0,102179.0
20120101:1600,15.54,85.63,26.0,137.32,18.0,305.05,2.68,243.0,102182.0
20120101:1700,15.5,86.14,0.0,-0.0,0.0,304.4,2.57,239.0,102185.0
20120101:1800,15.5,86.07,0.0,-0.0,0.0,303.98,2.64,235.0,102175.0
20120101:1900,15.49,86.0,0.0,-0.0,0.0,303.57,2.72,231.0,102165.0
20120101:2000,15.49,85.93,0.0,-0.0,0.0,303.15,2.8,228.0,102155.0
20120101:2100,15.61,85.63,0.0,-0.0,0.0,303.18,2.86,227.0,102102.0
20120101:2200,15.73,85.34,0.0,-0.0,0.0,303.22,2.93,226.0,102049.0
20120101:2300,15.86,85.04,0.0,-0.0,0.0,303.25,2.99,225.0,101996.0
20120102:0000,15.78,84.59,0.0,-0.0,0.0,302.9,3.33,226.0,101966.0
20120102:0100,15.7,84.14,0.0,-0.0,0.0,302.55,3.67,228.0,101936.0
20120102:0200,15.63,83.69,0.0,-0.0,0.0,302.2,4.01,229.0,101906.0
20120102:0300,15.68,82.97,0.0,-0.0,0.0,302.83,4.18,232.0,101859.0
20120102:0400,15.72,82.26,0.0,-0.0,0.0,303.47,4.34,235.0,101813.0
20120102:0500,15.77,81.54,0.0,-0.0,0.0,304.1,4.51,238.0,101766.0
20120102:0600,15.65,80.13,0.0,-0.0,0.0,305.53,4.98,245.0,101790.0
20120102:0700,15.52,78.71,0.0,-0.0,0.0,306.97,5.46,253.0,101813.0
